sample_size,number_of_runs,variable,true_index,true_rank,rf_pvi,rf_rank,sobol_toi,sobol_rank
200,"[2000, 4000, 6000]",P1,0.40402834293680157,1,0.38558924260742905,1,0.5446893158977314,2
200,"[2000, 4000, 6000]",P2,0.359200162639404,2,0.30041308042285286,2,0.5989813182822807,1
200,"[2000, 4000, 6000]",P3,0.2841518016258825,3,0.1871529510697004,3,0.2734111304738742,3
200,"[2000, 4000, 6000]",P4,0.1969068987812618,4,0.08130844896019071,4,-0.15787784331961707,6
200,"[2000, 4000, 6000]",P5,0.12431641321132357,5,0.06728244940160434,5,-0.005062542645724033,4
200,"[2000, 4000, 6000]",P6,0.03298190554586136,6,0.011272432615775705,7,-0.13846763229451486,5
200,"[2000, 4000, 6000]",P7,0.0021015778566283567,7,0.008021709028794368,8,-0.214091457396818,7
200,"[2000, 4000, 6000]",P8,6.505044967586564e-05,8,0.016174312912631206,6,-0.2141510624268037,8
400,"[2000, 4000, 6000]",P1,0.40402834293680157,1,0.3474765579536358,1,0.3798087777459085,2
400,"[2000, 4000, 6000]",P2,0.359200162639404,2,0.2418767891143661,2,0.15533916709866225,4
400,"[2000, 4000, 6000]",P3,0.2841518016258825,3,0.16506153153082967,3,0.3972986342977821,1
400,"[2000, 4000, 6000]",P4,0.1969068987812618,4,0.15643950682993646,4,0.18349840299091102,3
400,"[2000, 4000, 6000]",P5,0.12431641321132357,5,0.0937533502995202,5,-0.09300267698257647,5
400,"[2000, 4000, 6000]",P6,0.03298190554586136,6,0.03939407974760085,6,-0.20535967769900965,6
400,"[2000, 4000, 6000]",P7,0.0021015778566283567,7,0.006618622209976244,7,-0.28587298337343015,7
400,"[2000, 4000, 6000]",P8,6.505044967586564e-05,8,0.005592806612146103,8,-0.3074454953377568,8
600,"[2000, 4000, 6000]",P1,0.40402834293680157,1,0.3795534672474452,1,0.33598315652181776,3
600,"[2000, 4000, 6000]",P2,0.359200162639404,2,0.20140845761255977,3,0.3713729974499319,2
600,"[2000, 4000, 6000]",P3,0.2841518016258825,3,0.22573146289872048,2,0.37757331873041666,1
600,"[2000, 4000, 6000]",P4,0.1969068987812618,4,0.14466190475944884,4,0.25945886252159334,4
600,"[2000, 4000, 6000]",P5,0.12431641321132357,5,0.07915931110120816,5,0.07331293590962684,5
600,"[2000, 4000, 6000]",P6,0.03298190554586136,6,0.028970534593087224,6,-0.04773028996338491,7
600,"[2000, 4000, 6000]",P7,0.0021015778566283567,7,0.016637263053863816,7,-0.04637703038885266,6
600,"[2000, 4000, 6000]",P8,6.505044967586564e-05,8,0.011626792872179003,8,-0.04886859312935821,8
